"","V1"
"inaug_WilliamJClinton_1_22",9
"inaug_WilliamJClinton_1_23",9
"inaug_WilliamJClinton_1_24",9
"inaug_WilliamJClinton_1_25",9
"inaug_WilliamJClinton_1_26",12
"inaug_WilliamJClinton_1_27",14
"inaug_WilliamJClinton_1_28",14
"inaug_WilliamJClinton_1_29",1
"inaug_WilliamJClinton_1_30",14
"inaug_WilliamJClinton_1_31",6
"inaug_WilliamJClinton_1_32",8
"inaug_WilliamJClinton_1_33",8
"inaug_WilliamJClinton_1_34",8
"inaug_WilliamJClinton_1_35",1
"inaug_WilliamJClinton_1_36",1
"inaug_WilliamJClinton_1_37",1
"inaug_WilliamJClinton_1_38",1
"inaug_WilliamJClinton_1_39",1
"inaug_WilliamJClinton_1_40",1
"inaug_WilliamJClinton_1_41",1
"inaug_WilliamJClinton_1_42",1
"inaug_WilliamJClinton_1_43",1
"inaug_WilliamJClinton_1_44",4
"inaug_WilliamJClinton_1_45",1
"inaug_WilliamJClinton_1_46",1
"inaug_WilliamJClinton_1_47",1
"inaug_WilliamJClinton_1_48",1
"inaug_WilliamJClinton_1_49",1
"inaug_WilliamJClinton_1_50",1
"inaug_WilliamJClinton_1_51",10
"inaug_WilliamJClinton_1_52",3
"inaug_WilliamJClinton_1_53",12
"inaug_WilliamJClinton_1_54",12
"inaug_WilliamJClinton_1_55",12
"inaug_WilliamJClinton_1_56",12
"inaug_WilliamJClinton_1_57",10
"inaug_WilliamJClinton_1_58",10
"inaug_WilliamJClinton_1_59",11
"inaug_WilliamJClinton_1_60",10
"inaug_WilliamJClinton_1_61",11
"inaug_WilliamJClinton_1_62",10
"inaug_WilliamJClinton_1_63",7
"inaug_WilliamJClinton_1_64",7
"inaug_WilliamJClinton_1_65",7
"inaug_WilliamJClinton_1_66",7
"inaug_WilliamJClinton_1_67",7
"inaug_WilliamJClinton_1_68",9
"inaug_WilliamJClinton_1_69",9
"inaug_WilliamJClinton_1_70",9
"inaug_WilliamJClinton_1_71",9
"inaug_WilliamJClinton_1_72",5
"inaug_WilliamJClinton_1_73",6
"inaug_WilliamJClinton_1_74",5
"inaug_WilliamJClinton_1_75",5
"inaug_WilliamJClinton_1_76",7
"inaug_WilliamJClinton_1_77",3
"inaug_WilliamJClinton_1_78",3
"inaug_WilliamJClinton_1_79",3
"inaug_WilliamJClinton_1_80",8
"inaug_WilliamJClinton_1_81",4
"inaug_WilliamJClinton_1_82",10
"inaug_WilliamJClinton_1_83",11
"inaug_WilliamJClinton_1_84",1
"inaug_WilliamJClinton_1_85",1
"inaug_WilliamJClinton_1_86",1
"inaug_WilliamJClinton_1_87",5
"inaug_WilliamJClinton_1_88",2
"inaug_WilliamJClinton_1_89",3
"inaug_WilliamJClinton_1_90",1
"inaug_WilliamJClinton_1_91",1
"inaug_WilliamJClinton_1_92",1
"inaug_WilliamJClinton_1_93",1
"inaug_WilliamJClinton_1_94",13
"inaug_WilliamJClinton_1_95",13
"inaug_WilliamJClinton_1_96",10
"inaug_WilliamJClinton_1_97",13
"inaug_WilliamJClinton_1_98",13
"inaug_WilliamJClinton_1_99",13
"inaug_WilliamJClinton_1_100",13
"inaug_WilliamJClinton_1_101",13
"inaug_WilliamJClinton_2_2",1
"inaug_WilliamJClinton_2_3",5
"inaug_WilliamJClinton_2_4",5
"inaug_WilliamJClinton_2_5",5
"inaug_WilliamJClinton_2_6",5
"inaug_WilliamJClinton_2_7",5
"inaug_WilliamJClinton_2_8",7
"inaug_WilliamJClinton_2_9",7
"inaug_WilliamJClinton_2_10",7
"inaug_WilliamJClinton_2_11",7
"inaug_WilliamJClinton_2_12",7
"inaug_WilliamJClinton_2_13",7
"inaug_WilliamJClinton_2_14",7
"inaug_WilliamJClinton_2_15",5
"inaug_WilliamJClinton_2_16",1
"inaug_WilliamJClinton_2_17",3
"inaug_WilliamJClinton_2_18",2
"inaug_WilliamJClinton_2_19",7
"inaug_WilliamJClinton_2_20",7
